Tahun,Kabupaten/Kota,WPP,Volume Produksi (Ton),Nilai Produksi (Rp 000),Provinsi,Kelompok,Jenis Ikan;
2023,DELI SERDANG,WPP-RI-571,371.79,10615564,SUMATERA UTARA,TENGGIRI,TENGGIRI;
2023,DELI SERDANG,WPP-RI-571,93.44,2803170,SUMATERA UTARA,TONGKOL,TONGKOL;
2023,DELI SERDANG,WPP-RI-571,88.82,1332315,SUMATERA UTARA,TONGKOL,TONGKOL ABU-ABU;
2023,DELI SERDANG,WPP-RI-571,5953.20,17859603,SUMATERA UTARA,UDANG,UDANG GROGO;
2023,DELI SERDANG,WPP-RI-571,567.22,21856360,SUMATERA UTARA,UDANG,UDANG KAPUR;
2023,DELI SERDANG,WPP-RI-571,74.22,4824365,SUMATERA UTARA,UDANG,UDANG MANTIS;
2023,DELI SERDANG,WPP-RI-571,326.22,19572900,SUMATERA UTARA,UDANG,UDANG PUTIH; UDANG API-API
2023,DELI SERDANG,WPP-RI-571,11.27,732485,SUMATERA UTARA,UDANG,UDANG VANAME;
2023,INDRAGIRI HILIR,WPP-RI-711,2589.84,143742819,RIAU,BAUNG,MANYUNG JAHAL;
2023,INDRAGIRI HILIR,WPP-RI-711,5155.21,144345936,RIAU,BELANAK,BELANAK;
2023,INDRAGIRI HILIR,WPP-RI-711,2200.53,62734244,RIAU,BELANAK,BELANAK JUMPUL;
2023,INDRAGIRI HILIR,WPP-RI-711,5689.93,56899310,RIAU,BELOSO,ACANG-ACANG BOMBAY;
2023,INDRAGIRI HILIR,WPP-RI-711,69.28,1457538,RIAU,BELUT LAUT,BELUT MORAY BESAR;
2023,INDRAGIRI HILIR,WPP-RI-711,88.98,1465587,RIAU,BULU AYAM,BULU AYAM;
2023,INDRAGIRI HILIR,WPP-RI-711,2297.26,137835720,RIAU,GEROT-GEROT,GEROT-GEROT;
2023,INDRAGIRI HILIR,WPP-RI-711,514.19,12854675,RIAU,GOLOK-GOLOK,GOLOK-GOLOK;
2023,INDRAGIRI HILIR,WPP-RI-711,1321.24,28795860,RIAU,GULAMAH,GULAMAH;
2023,INDRAGIRI HILIR,WPP-RI-711,76.33,4012470,RIAU,KACI-KACI,KAKAP PUTIH;
2023,INDRAGIRI HILIR,WPP-RI-711,1007.98,53026040,RIAU,KAKAP,KAKAP CINA;
2023,INDRAGIRI HILIR,WPP-RI-711,634.56,31728150,RIAU,KAKAP,KAKAP HITAM;
2023,INDRAGIRI HILIR,WPP-RI-711,27.69,830820,RIAU,KEMBUNG,KEMBUNG;
2023,INDRAGIRI HILIR,WPP-RI-711,69.56,5924300,RIAU,KEPITING,KEPITING BAKAU;
2023,INDRAGIRI HILIR,WPP-RI-711,12366.96,278432760,RIAU,KERANG,KERANG DARAH;
2023,INDRAGIRI HILIR,WPP-RI-711,60.01,2548110,RIAU,KERAPU,KERAPU LUMPUR;
2023,INDRAGIRI HILIR,WPP-RI-711,3123.29,187397100,RIAU,KURO,KURO; SENANGIN
2023,INDRAGIRI HILIR,WPP-RI-711,516.23,11873359,RIAU,LAYUR,LAYUR;
2023,INDRAGIRI HILIR,WPP-RI-711,2551.54,63788400,RIAU,MANYUNG,MANYUNG JAHAL;
2023,INDRAGIRI HILIR,WPP-RI-711,8.48,237552,RIAU,PARI,PARI BURUNG;
2023,INDRAGIRI HILIR,WPP-RI-711,2913.25,72831275,RIAU,SEMBILANG,SEMBILANG BETUL;
2023,INDRAGIRI HILIR,WPP-RI-711,63.62,2417636,RIAU,TENGGIRI,TENGGIRI PAPAN;
2023,INDRAGIRI HILIR,WPP-RI-711,2957.17,63493356,RIAU,TERI,BIANG;
2023,INDRAGIRI HILIR,WPP-RI-711,20.01,2401320,RIAU,UDANG,UDANG GALAH;
2023,INDRAGIRI HILIR,WPP-RI-711,1094.27,27907041,RIAU,UDANG,UDANG GROGO;
2023,INDRAGIRI HILIR,WPP-RI-711,1114.76,55737800,RIAU,UDANG,UDANG JERBUNG;
2023,INDRAGIRI HILIR,WPP-RI-711,16.45,3783500,RIAU,UDANG,UDANG MANTIS;
2023,INDRAGIRI HILIR,WPP-RI-711,865.84,38962710,RIAU,UDANG,UDANG PUTIH; UDANG API-API
2023,KEPULAUAN MENTAWAI,WPP-RI-572,1.03,20600,SUMATERA BARAT,ALU-ALU,ALU-ALU BESAR; BARAKUDA BESAR
2023,KEPULAUAN MENTAWAI,WPP-RI-572,112.39,3933685,SUMATERA BARAT,ALU-ALU,ALU-ALU GIGI GERGAJI; BARAKUDA GIGI GERGAJI
2023,KEPULAUAN MENTAWAI,WPP-RI-572,34.41,860325,SUMATERA BARAT,ALU-ALU,ALU-ALU SIRIP HITAM; BARAKUDA SIRIP HITAM
2023,KEPULAUAN MENTAWAI,WPP-RI-572,68.15,1703750,SUMATERA BARAT,ALU-ALU,SENUK;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,71.13,1706328,SUMATERA BARAT,BARONANG,BARONANG;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,12.77,446845,SUMATERA BARAT,BAWAL,BAWAL PUTIH;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,11.38,324610,SUMATERA BARAT,BAYEMAN,KAKAKTUA PUTIH;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,64.78,1165986,SUMATERA BARAT,BELANAK,BELANAK;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,6.09,152250,SUMATERA BARAT,BELOSO,BELOSO;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,87.13,1830445,SUMATERA BARAT,BIJI NANGKA,KUNIRAN; BIJI NANGKA
2023,KEPULAUAN MENTAWAI,WPP-RI-572,742.81,16305600,SUMATERA BARAT,CAKALANG,CAKALANG;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,68.38,2769015,SUMATERA BARAT,CUMI-CUMI,CUMI-CUMI;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,52.79,1319650,SUMATERA BARAT,EKOR KUNING,EKOR KUNING;
2023,KEPULAUAN MENTAWAI,WPP-RI-572,6.11,152650,SUMATERA BARAT,EKOR KUNING,LOLOSI PAPAN;
